badge,badge_type,brief,count,cv,follow,index_show,is_finish,media_id,play,pub_date,pub_real_time,renewal_time,score,season_id,staff,tags,title
,,"人类创作了许许多多的故事。
喜悦、悲伤、愤怒、感动。这些引人入胜的故事撼动着人们的心灵。
但是，那些不过是作为旁观者的感想罢了。
如果，故事中的登场人物们拥有了“意志”。那么对于他们来说，创作出故事的",11679,"""水筱飒太：山下大輝\nセレジア?ユピティリア：小松未可子\nメテオラ?エスターライヒ：水瀬いのり\nアリステリア?フェブラリィ：日笠陽子\n煌樹まみか：村川梨衣\n弥勒寺优夜：鈴村健一\n鹿屋瑠伟：雨宮天\n筑..""",254万人追番,全22话,1,5998,5706.6万次播放,1491667200,1491667200,1505577600,8.2分,5998,"""导演：あおきえい\n人物设定：牧野竜一\n原作：広江礼威\n人物原案：広江礼威\n系列构成：あおきえい、広江礼威\n色彩设计：篠原真理子\n美术监督：永吉幸樹\n音乐：澤野弘之\n""", 科幻 奇幻 原创,Re:CREATORS
,,时为2138年。曾卷起一大风潮的虚拟现实体感型网络游戏《YGGDRASIL》即将迎来停服。玩家飞鼠在曾经以同伴和荣华自傲的根据地纳萨力克地下大坟墓，独自一人安静等待着那一刻。但是，不料发生了结束时间已,52899,"""安兹：日野聪\n雅儿贝德：原由实\n夏提雅：上坂堇\n亚乌菈：加藤英美里\n马雷：内山夕实\n迪米乌哥斯：加藤将之\n科塞特斯：三宅健太\n塞巴斯：千叶繁\n娜贝拉尔：沼仓爱美""",335.5万人追番,全13话,1,8792,1.1亿次播放,1515427200,1515427200,1522767600,9.7分,21466,"""原作：丸山くがね（《OVERLORD》\u002FKADOKAWA刊）\n角色原案：so-bin\n监督：伊藤尚往\n系列构成：菅原雪绘\n角色设计：田崎聪、吉松孝博\n动画制作：MADHOUSE""", 轻改 奇幻 战斗 魔法,OVERLORDⅡ
,,"时间为2138年。曾卷起一大风潮的虚拟现实体感型网络游戏《YGGDRASIL》即将迎来停服。玩家飞鼠在曾经以同伴和荣华自傲的根据地纳萨力克地下大坟墓，独自一人安静等待着那一刻。
但是，不料发生了“过了",34600,"""安兹：日野聪\n雅儿贝德：原由实\n夏提雅：上坂堇\n亚乌菈：加藤英美里\n马雷：内山夕实\n迪米乌哥斯：加藤将之\n科塞特斯：三宅健太\n塞巴斯：千叶繁\n威克提姆：东山奈央\n由莉：五十岚裕美\n露普丝雷其娜：小松未可子\n娜贝拉尔：沼仓爱美\n希丝：濑户麻沙美\n索留香：佐仓绫音\n安特玛：真堂圭\n扎里尤斯：东地宏树\n沙斯林：楠见尚己\n库鲁雪：雨宫天\n泽贝鲁：石井康嗣\n拉娜：安野希世乃\n克莱姆：逢坂良太\n葛杰夫：白熊宽嗣\n布莱恩：游佐浩二\n拉裘丝：小清水亚美\n格格兰：齐藤贵美子\n依比鲁艾：花守由美里\n缇亚：石上静香\n缇娜：富田美忧\n琪雅蕾：嶋村侑\n吉尔克尼弗：樱井孝宏\n福鲁达：土师孝也""",318.1万人追番,更新至第9话,0,102252,7339.3万次播放,1531152000,1531152000,1536071402,9.5分,24596,"""原作：丸山くがね（《OVERLORD》\u002FKADOKAWA刊）\n角色原案：so-bin\n监督：伊藤尚往\n系列构成：菅原雪绘\n角色设计：田崎聪、吉松孝博\n次要角色设计、怪物设计、道具设计：今村大树、杉浦幸次、出云重机、铃木政彦、前原桃子\n美术监督：池田繁美、丸山由纪子（ATELIER MUSA）\n美术设定：友野加世子、大久保修一（ATELIER MUSA）\n色彩设计：堀川佳典\n3D监督：田中康隆\n摄影监督：继冈梦月\n编辑：冢常真理子\n音响监督：乡文裕贵\n音响制作：grooove\n音乐：片山修志（Team-MAX）\n音乐制作：KADOKAWA\n动画制作：MADHOUSE""", 轻改 奇幻 智斗 装逼 战斗 魔法,OVERLORD Ⅲ
,,"在单身的辛苦OL小林身边突然出现的女仆装束的美少女托尔。
长着角和尾巴的她的身姿正是所谓的龙娘。
在醉酒的小林邀请下说要到家里去的托尔，鬼使神差地开始以小林家女仆的身份工作……！？
“女仆”+“龙”=",9704,"""小林小姐：田村睦心\n托尔：桑原由气\n康娜：长绳麻理亚\n艾露玛：高田忧希\n魁札尔科亚特尔：高桥未奈美\n法夫纳：小野大辅\n泷谷真：中村悠一\n才川莉子：加藤英美里\n才川乔基：后藤邑子""",341.6万人追番,全13话,1,5800,1亿次播放,1484064000,1484064000,1491410100,9.3分,5800,"""脚本：志茂文彦、西川昌志、武本康弘、山田由香\n导演：武本康弘\n絵コンテ：石立太一、小川太一、三好一郎、武本康弘、澤真平、北之原孝將、山田尚子、山村卓也、石原立也\n作画監督：门胁未来、明見裕子、丸子達就、池田晶子、門脇未来、池田和美、丸木宣明、植野千世子、角田有希、丸子达就、岡村公平、西屋太志\n原作：クール教信者\n演出：小川太一、三好一郎、藤田春香、澤真平、北之原孝將、山田尚子、山村卓也\n分镜：小川太一、澤真平、山田尚子\n动画制作：京都アニメーション（京都动画）\n""", 萌系 搞笑 日常 百合 漫改,小林家的龙女仆
,,Fate/stay night -UBW-是FSN的第二条路线Unlimited Blade Works的TV化作品。通过2010年1月23日上映的UBW剧场版，为我们应该已对该路线的故事情节有所了解,6107,"""卫宫士郎：杉山纪彰\n远坂凛：植田佳奈\n间桐樱：下屋则子\n言峰绮礼：中田让治\n吉尔伽美什：关智一""",218.2万人追番,全13话,1,1586,8751.8万次播放,1412352000,1412352000,1419703200,9.1分,1586,"""原作：奈须蘑菇\u002FTYPE-MOON\n监督：三浦贵博\n脚本：佐藤和冶、桧山彬、一之濑树、佐藤和治、ufotable\n分镜：笹嶋啓一、三浦贵博、野中卓也\n角色原案：武内崇\n角色设计：须藤友德、田畑寿之、碇谷敦\n色彩设计：千叶绘美、松冈美佳\n美术监督：卫藤功二\n音乐：深泽秀行\n摄影监督：寺尾优一\n3D监督：宍户幸次郎\n动画制作：ufotable""", 奇幻 热血,Fate/stay night [Unlimited Blade Works] 第一季
,,"支持着芦川组的年轻智力型黑道新田义史，过着被喜欢的壶所包围的悠然自得单身生活。但某一天，随着装在神秘物体里的少女雏来到他家，他的生活为之一变。他被能使用念动力的雏所胁迫，迫不得已开始和她同居！
容易暴",24657,"""雏：田中贵子\n新田义史：中岛良树\n杏子：村川梨衣\n三岛瞳：本渡枫\n诗子：日笠阳子""",202.4万人追番,全12话,1,78352,4706.5万次播放,1522944000,1522944000,1532966400,9.6分,23850,"""原作：大武政夫《黑社会的超能力女儿》（KADOKAWA 刊）\n监督：及川启\n系列构成、剧本：大知庆一郎\n角色设计、总作画监督：神本兼利\n助监督：松原桂\n主动画师：桝田邦彰、竹内哲也、荒木凉\n美术监督：吉原俊一郎\n美术设定：青木薰\n背景：美峰\n色彩设计：岩井田洋\n摄影监督：中村雄太\n编辑：平木大辅\n音响监督：本山哲\n音响制作：Magic Capsule\n音乐：三泽康广\n音乐制作：日本哥伦比亚\n动画制作：feel.\n制作：黑社会的超能力女儿制作委员会""", 搞笑 装逼 日常 漫改,超能力女儿
,,"从小接受母亲严格的钢琴训练，并在各种音乐比赛上获胜的“神童”——有马公生，11岁那年因为母亲去世，他从此变得听不见钢琴的声音，因而放弃了弹奏钢琴。
国中三年级时，在青梅竹马椿的引见下，公生认识了与他同",9334,"""有马公生：花江夏樹\n宫园薰：種田梨沙\n泽部椿：佐倉綾音\n渡亮太：逢坂良太\n有马早希：能登麻美子\n相座武士：梶裕貴\n井川绘见：早見沙織\n相座凪：茅野愛衣\n濑户纮子：園崎未恵""",207万人追番,全22话,1,1699,6232.1万次播放,1412784000,1412784000,1426787122,9.7分,1699,"""原作：新川直司\n监督：イシグロキョウヘイ\n脚本：吉岡たかを\n分镜：倉田綾子、井端義秀、神戸守、イシグロキョウヘイ、後藤圭二、中村章子、黒木美幸、石井俊匡\n演出：倉田綾子、井端義秀、原田孝宏、イシグロキョウヘイ、福島利規、河野亜矢子、小島崇史、こさや\n人物设定：愛敬由紀子\n系列构成：吉岡たかを\n美术监督：薄井久代\n色彩设计：中島和子\n总作画监督：愛敬由紀子、高野綾\n作画监督：時永宜幸、愛敬由紀子、長森佳容、浅賀和行、小林恵祐、髙田晃、高野綾、小島崇史、伊藤香織\n音乐：横山克\n音响监督：明田川仁\n音乐制作：エピックレコードジャパン、フジパシフィック音楽出版、Aniplex\n摄影监督：野澤圭輔、関谷能弘\n剪辑：三嶋章紀\n动画制作：A-1 Pictures""", 少女 音乐 催泪 恋爱,四月是你的谎言
,,从小一起长大的六个孩子，在升上高中之后彼此有了距离。不太与人们接触的宅男宿海仁太、有点被小太妹熏染的安城鸣子、进入重点高中的松雪集与鹤见知利子、放弃读高中而展开旅行的久川铁道……只有幼年死去的本间芽衣,7983,"""本间芽衣子：茅野爱衣\n宿海仁太：入野自由\n安城鸣子：户松遥\n松雪集：樱井孝宏\n鹤见知利子：早见沙织\n久川铁道：近藤孝行""",207.2万人追番,全11话,1,835,2027.2万次播放,1302710400,1302710400,1406892014,9.3分,835,"""脚本：冈田麿里\n监督：长井龙雪\n分镜·演出：长井龙雪、伊藤智彦、吉村爱、篠原俊哉\n人物设定： 田中将贺\n原画： 松本宪生、冷水由紀絵、新井伸浩、阿部望、中村直人\n色彩设计： 中岛和子\n总作画监督： 田中将贺\n作画监督： 冈崎洋美、须藤智子、山本笃史\n音响监督： 明田川仁\n剪辑： 西山茂\n音乐制作： Aniplex、フジパシフィック音楽出版\n动画制作： A-1 Pictures""", 致郁 日常 治愈 催泪 原创,我们仍未知道那天所看见的花的名字。
,,"空前绝后的笨蛋，就在这里！
笨到无可救药的女高中生·花畑佳子。
非常喜欢香蕉。
非常喜欢青梅竹马的阿君。
以上！",10115,"""花畑佳子：悠木碧\n阿久津明：杉田智和\n隅野沙耶香：原田彩枫\n风纪委员长：上坂堇\n花畑良惠：日笠阳子\n黑崎龙一：八代拓\n阿久津琉璃：千本木彩花\n押技あつこ：佐藤利奈\n荣村茜：M·A·O\n柊姬衣：前田..""",209.3万人追番,全12话,1,6311,5042.8万次播放,1499097600,1499097600,1505830500,9.0分,6311,"""原作：ヒロユキ\n总监督：草川启造\n监督：玉木慎吾\n系列构成：青岛崇\n角色设计：石川雅一\n美术：大平司\n色彩设计：上村修司\n摄影：伊藤康行\n编辑：小岛俊彦\n音响监督：本山哲\n音乐：吟（BUSTED ROSE）\n动画制作：diomedéa\n制作：NAS、单蠢女孩制作委员会""", 搞笑 校园 漫改,笨女孩
,,于日本县立学文高中之中，有一名叫坂本的全能高中生，平常总是用著各种超乎常理的无厘头行为来完成各种琐事，导致周遭所有女性同学都对他钦佩绝倒，同时也引起所有男性同学的无限嫉妒。但不管面对其他人如何刁难，坂,8073,"""坂本：绿川光\n濑良裕也：森久保祥太郎\n久保田吉伸：石田彰\n黑沼爱菜：堀江由衣\n8823：游佐浩二\n久保田茂美：鲸（松本和香子）\n藤田惠：中原麻衣\n深濑：岩田光央\nKenken：桧山修之\nMario..""",344.6万人追番,全13话,1,3450,1.2亿次播放,1460044800,1460044800,1475935210,8.6分,3450,"""原作：佐野菜见\n监督：高松信司\n角色设计：中岛敦子\n撮影监督：酒井淳子\n色彩设计：佐野ひとみ\n美术监督：武藤正敏\n编集：松原理恵\n音乐：福田裕彦\n音乐制作：King Records\n音响制作：DAX Production\n动画制作：Studio DEEN""", 搞笑 校园 装逼 日常,在下坂本，有何贵干？
